# MODEL_16_

allowed_brigades =  escort

upgrade = { type = strategic_bomber		upgrade_time_factor = 0.54	upgrade_cost_factor = 1.40 }
upgrade = { type = tactical_bomber		upgrade_time_factor = 0.54	upgrade_cost_factor = 1.40 }

# 0 - Early Naval Bomber (1918)
model = {
	cost 						= 12
	buildtime					= 220
	defaultorganisation 		= 20
	morale						= 15
	manpower					= 2.2
	maxspeed					= 200
	surfacedetectioncapability	= 1
	airdetectioncapability		= 1
	surfacedefence				= 8
	airdefence					= 30
	airattack					= 1
	strategicattack				= 0
	softattack					= 1
	hardattack					= 1
	navalattack					= 2
	range						= 750
	supplyconsumption 			= 1.0
	fuelconsumption				= 3
	upgrade_time_factor 		= 0.60 
	upgrade_cost_factor 		= 0.50
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { bomber = 100 manpower = 600 }
}

# 1 - Interwar Naval Bomber (1924)
model = {
	cost 						= 14
	buildtime					= 230
	defaultorganisation 		= 30
	morale						= 25
	manpower					= 2.2
	maxspeed					= 250
	surfacedetectioncapability	= 1
	airdetectioncapability		= 1
	surfacedefence				= 8
	airdefence					= 30
	airattack					= 2
	strategicattack				= 0
	softattack					= 1
	hardattack					= 1
	navalattack					= 3
	range						= 1000
	supplyconsumption 			= 1.0
	fuelconsumption				= 3
	upgrade_time_factor 		= 0.60 
	upgrade_cost_factor 		= 0.50
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { bomber = 100 manpower = 600 }
}

# 2 - Basic Naval Bomber (1938)
model = {
	cost 						= 15
	buildtime					= 240
	defaultorganisation 		= 30
	morale						= 25
	manpower					= 2.2
	maxspeed					= 300
	surfacedetectioncapability	= 1
	airdetectioncapability		= 1
	surfacedefence				= 8
	airdefence					= 30
	airattack					= 2
	strategicattack				= 0
	softattack					= 1
	hardattack					= 1
	navalattack					= 4
	range						= 1250
	supplyconsumption 			= 1.0
	fuelconsumption				= 3
	upgrade_time_factor 		= 0.60 
	upgrade_cost_factor 		= 0.50
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { bomber = 100 manpower = 600 }
}

# 3 - Improved Naval Bomber (1941)
model = {
	cost 						= 16
	buildtime					= 240
	defaultorganisation 		= 30
	morale						= 25
	manpower					= 2.2
	maxspeed					= 350
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	surfacedefence				= 8
	airdefence					= 30
	airattack					= 3
	strategicattack				= 0
	softattack					= 1
	hardattack					= 2
	navalattack					= 6
	range						= 1500
	supplyconsumption 			= 1.2
	fuelconsumption				= 3
	upgrade_time_factor 		= 0.60 
	upgrade_cost_factor 		= 0.50
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { bomber = 100 manpower = 600 }
}

# 4 - Advanced Naval Bomber (1943)
model = {
	cost 						= 18
	buildtime					= 240
	defaultorganisation 		= 30
	morale						= 25
	manpower					= 2.2
	maxspeed					= 400
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	surfacedefence				= 8
	airdefence					= 30
	airattack					= 3
	strategicattack				= 0
	softattack					= 2
	hardattack					= 3
	navalattack					= 7
	range						= 2000
	supplyconsumption 			= 1.4
	fuelconsumption				= 3.2
	upgrade_time_factor 		= 0.60 
	upgrade_cost_factor 		= 0.50
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { bomber = 100 manpower = 600 }
}

# 5 - Early Turbojet Naval Bomber (1945)
model = {
	cost 						= 21
	buildtime					= 240
	defaultorganisation 		= 30
	morale						= 25
	manpower					= 2.2
	maxspeed					= 500
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	surfacedefence				= 6
	airdefence					= 18
	airattack					= 3
	strategicattack				= 2
	softattack					= 3
	hardattack					= 3
	navalattack					= 6
	range						= 1500
	supplyconsumption 			= 2.0
	fuelconsumption				= 3.5
	upgrade_time_factor 		= 0.60 
	upgrade_cost_factor 		= 0.50
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { bomber = 100 manpower = 600 }
}

# 6 - Basic Turbojet Naval Bomber (1949)
model = {
	cost 						= 22
	buildtime					= 240
	defaultorganisation 		= 30
	morale						= 25
	manpower					= 2.2
	maxspeed					= 700
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	surfacedefence				= 5
	airdefence					= 12
	airattack					= 3
	strategicattack				= 3
	softattack					= 4
	hardattack					= 4
	navalattack					= 8
	range						= 2000
	supplyconsumption 			= 2.0
	fuelconsumption				= 3.5
	upgrade_time_factor 		= 0.60 
	upgrade_cost_factor 		= 0.50
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { bomber = 100 manpower = 600 }
}

# 7 - Improved Turbojet Naval Bomber (1954)
model = {
	cost 						= 23
	buildtime					= 240
	defaultorganisation 		= 30
	morale						= 25
	manpower					= 2.2
	maxspeed					= 900
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	surfacedefence				= 4
	airdefence					= 12
	airattack					= 3
	strategicattack				= 3
	softattack					= 3
	hardattack					= 4
	navalattack					= 9
	range						= 2500
	supplyconsumption 			= 2.0
	fuelconsumption				= 3.5
	upgrade_time_factor 		= 0.60 
	upgrade_cost_factor 		= 0.50
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { bomber = 100 manpower = 600 }
}

# 8 - Advanced Turbojet Naval Bomber (1960)
model = {
	cost 						= 24
	buildtime					= 240
	defaultorganisation 		= 30
	morale						= 25
	manpower					= 2.2
	maxspeed					= 1100
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	surfacedefence				= 4
	airdefence					= 12
	airattack					= 3
	strategicattack				= 3
	softattack					= 3
	hardattack					= 6
	navalattack					= 10
	range						= 3000
	supplyconsumption 			= 2.0
	fuelconsumption				= 3.5
	upgrade_time_factor 		= 0.60 
	upgrade_cost_factor 		= 0.50
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { bomber = 100 manpower = 600 }
}
